
===== ACPI DEVICES (hid | status | path) =====
ACPI0003:00      | status=15  | \_SB_.ADP1
ACPI000C:00      | status=15  | \_SB_.PAGD
ACPI000E:00      | status=15  | \_SB_.AWAC
GCTI5035:00      | status=15  | \_SB_.PC00.LNK1
GCTI8034:00      | status=15  | \_SB_.PC00.LNK0
INT00000:00      | status=0   | \_SB_.PC00.I2C0.HDAC
INT33A1:00       | status=15  | \_SB_.PEPD
INT33BE:00       | status=0   | \_SB_.PC00.LNK3
INT33BE:01       | status=0   | \_SB_.PC00.LNK4
INT33BE:02       | status=0   | \_SB_.PC00.LNK5
INT33D3:00       | status=15  | \_SB_.PC00.LPCB.H_EC.CIND
INT33D4:00       | status=15  | \_SB_.PC00.LPCB.H_EC.DIND
INT33E1:00       | status=0   | \_SB_.PC00.UA00.BTH0
INT340E:00       | status=15  | \_SB_.PTID
INT3420:00       | status=0   | \PSM_
INT3471:00       | status=0   | \_SB_.PC00.I2C2.CAM0
INT3472:00       | status=0   | \_SB_.PC00.I2C2.PMIC
INT3472:01       | status=15  | \_SB_.PC00.DSC0
INT3472:02       | status=15  | \_SB_.PC00.DSC1
INT3472:03       | status=0   | \_SB_.PC00.DSC2
INT3472:04       | status=0   | \_SB_.PC00.DSC3
INT3472:05       | status=0   | \_SB_.PC00.DSC4
INT3472:06       | status=0   | \_SB_.PC00.DSC5
INT3472:07       | status=0   | \_SB_.PC00.CLP0
INT3472:08       | status=0   | \_SB_.PC00.CLP1
INT3472:09       | status=0   | \_SB_.PC00.CLP2
INT3472:0a       | status=0   | \_SB_.PC00.CLP3
INT3472:0b       | status=0   | \_SB_.PC00.CLP4
INT3472:0c       | status=0   | \_SB_.PC00.CLP5
INT3474:00       | status=0   | \_SB_.PC00.I2C4.CAM1
INT3519:00       | status=0   | \_SB_.COEX
INT3533:00       | status=0   | \_SB_.PMAX
INTC1001:00      | status=0   | \_SB_.PTHH
INTC1041:00      | status=15  | \_SB_.IETM
INTC1057:00      | status=15  | \_SB_.GPI0
INTC1070:00      | status=15  | \_SB_.HIDD
INTC1092:00      | status=0   | \_SB_.WCCD
INTC1099:00      | status=15  | \_SB_.PC00.LPCB.CWDT
