[  295.785815] gc5035 i2c-GCTI5035:00: supply dvdd not found, using dummy regulator
[  295.787349] gc5035 i2c-GCTI5035:00: supply dovdd not found, using dummy regulator
[  296.022032] gc5035 i2c-GCTI5035:00: supply dvdd not found, using dummy regulator
[  296.024551] gc5035 i2c-GCTI5035:00: supply dovdd not found, using dummy regulator
[  296.260247] gc5035 i2c-GCTI5035:00: supply dvdd not found, using dummy regulator
[  296.264300] gc5035 i2c-GCTI5035:00: supply dovdd not found, using dummy regulator
[  296.471584] gc5035 i2c-GCTI5035:00: supply dvdd not found, using dummy regulator
[  296.474121] gc5035 i2c-GCTI5035:00: supply dovdd not found, using dummy regulator
[  296.681595] gc5035 i2c-GCTI5035:00: supply dvdd not found, using dummy regulator
[  296.682770] gc5035 i2c-GCTI5035:00: supply dovdd not found, using dummy regulator
[  296.923479] gc5035 i2c-GCTI5035:00: supply dvdd not found, using dummy regulator
[  296.924613] gc5035 i2c-GCTI5035:00: supply dovdd not found, using dummy regulator
[  297.134828] gc5035 i2c-GCTI5035:00: supply dvdd not found, using dummy regulator
[  297.136591] gc5035 i2c-GCTI5035:00: supply dovdd not found, using dummy regulator
[  297.346646] gc5035 i2c-GCTI5035:00: supply dvdd not found, using dummy regulator
[  297.349837] gc5035 i2c-GCTI5035:00: supply dovdd not found, using dummy regulator
[  297.558875] gc5035 i2c-GCTI5035:00: supply dvdd not found, using dummy regulator
[  297.561762] gc5035 i2c-GCTI5035:00: supply dovdd not found, using dummy regulator
[  297.768459] gc5035 i2c-GCTI5035:00: supply dvdd not found, using dummy regulator
[  297.769625] gc5035 i2c-GCTI5035:00: supply dovdd not found, using dummy regulator
[  298.044872] gc8034 i2c-GCTI8034:00: supply dvdd not found, using dummy regulator
[  298.046017] gc8034 i2c-GCTI8034:00: supply dovdd not found, using dummy regulator
[  298.252149] gc8034 i2c-GCTI8034:00: supply dvdd not found, using dummy regulator
[  298.253337] gc8034 i2c-GCTI8034:00: supply dovdd not found, using dummy regulator
[  298.462600] gc8034 i2c-GCTI8034:00: supply dvdd not found, using dummy regulator
[  298.465290] gc8034 i2c-GCTI8034:00: supply dovdd not found, using dummy regulator
[  298.664534] gc8034 i2c-GCTI8034:00: supply dvdd not found, using dummy regulator
[  298.666552] gc8034 i2c-GCTI8034:00: supply dovdd not found, using dummy regulator
[  298.867988] gc8034 i2c-GCTI8034:00: supply dvdd not found, using dummy regulator
[  298.871524] gc8034 i2c-GCTI8034:00: supply dovdd not found, using dummy regulator
[  299.085845] gc8034 i2c-GCTI8034:00: supply dvdd not found, using dummy regulator
[  299.086905] gc8034 i2c-GCTI8034:00: supply dovdd not found, using dummy regulator
[  299.287677] gc8034 i2c-GCTI8034:00: supply dvdd not found, using dummy regulator
[  299.290251] gc8034 i2c-GCTI8034:00: supply dovdd not found, using dummy regulator
[  299.494462] gc8034 i2c-GCTI8034:00: supply dvdd not found, using dummy regulator
[  299.497335] gc8034 i2c-GCTI8034:00: supply dovdd not found, using dummy regulator
[  299.694649] gc8034 i2c-GCTI8034:00: supply dvdd not found, using dummy regulator
[  299.695969] gc8034 i2c-GCTI8034:00: supply dovdd not found, using dummy regulator
[  299.905045] gc8034 i2c-GCTI8034:00: supply dvdd not found, using dummy regulator
[  299.906537] gc8034 i2c-GCTI8034:00: supply dovdd not found, using dummy regulator
